stabbr,grant_federal,grant_simulated,enroll_ftug,per_student_aid,simulated_aid_per_student,budget_impact,outcome
AK,7516960.0,7291390.25,3875.0,1939.8606451612902,1881.6490967741936,-225569.75,Net decrease
AL,98232102.0,95160044.55,45351.0,2166.04048422306,2098.300909572005,-3072057.450000003,Net decrease
AR,62771779.0,53054294.2,26686.0,2352.2363411526644,1988.0946638686953,-9717484.799999997,Net decrease
AZ,109795674.0,120832336.45,53503.0,2052.140515485113,2258.421704390408,11036662.450000003,Net increase
CA,670342809.0,629393356.65,302025.0,2219.494442513037,2083.911453190961,-40949452.350000024,Net decrease
CO,66548401.0,84504416.75,40625.0,1638.1144861538462,2080.10872,17956015.75,Net increase
CT,58087398.0,60863465.5,31504.0,1843.810246317928,1931.928183722702,2776067.5,Net increase
DE,15128787.0,20367969.8,9494.0,1593.5103223088265,2145.3517800716245,5239182.800000001,Net increase
FL,463290161.0,454006053.5,176162.0,2629.909747845733,2577.2076469386134,-9284107.5,Net decrease
GA,132149477.0,113772058.05,56409.0,2342.701997908135,2016.9132239536243,-18377418.950000003,Net decrease
HI,12132912.0,13314985.299999999,7090.0,1711.2710860366715,1877.9951057827925,1182073.2999999989,Net increase
IA,52408601.0,70996515.75,33681.0,1556.0286511683146,2107.9099714972835,18587914.75,Net increase
ID,20102769.0,22431130.4,11336.0,1773.3564749470713,1978.7517995765702,2328361.3999999985,Net increase
IL,168219800.0,175001010.2,86480.0,1945.1873265494912,2023.600950508788,6781210.199999988,Net increase
IN,105305428.0,134852449.85,58997.0,1784.9285217892436,2285.7509678458227,29547021.849999994,Net increase
KS,51372560.0,56877676.4,28712.0,1789.2365561437725,1980.9722903315687,5505116.3999999985,Net increase
KY,71773465.0,69989366.75,34157.0,2101.281289340399,2049.049001668765,-1784098.25,Net decrease
LA,100689677.0,85662590.4,42486.0,2369.949559855011,2016.254540319164,-15027086.599999994,Net decrease
MA,110176178.0,137045459.15,70121.0,1571.2294177207968,1954.4139294933045,26869281.150000006,Net increase
MD,71392203.0,77353501.75,39583.0,1803.6076851173484,1954.2101849278731,5961298.75,Net increase
ME,19741860.0,18249755.35,9781.0,2018.3887128105512,1865.8373734791944,-1492104.6499999985,Net decrease
MI,138369909.0,157762657.15,73489.0,1882.865585325695,2146.7519921348776,19392748.150000006,Net increase
MN,61867643.0,77835233.1,39120.0,1581.483716768916,1989.6531978527605,15967590.099999994,Net increase
MO,93466180.0,100037365.75,49477.0,1889.0834124946946,2021.8963508296783,6571185.75,Net increase
MS,82956727.0,60063338.75,29903.0,2774.194127679497,2008.605783700632,-22893388.25,Net decrease
MT,12479895.0,15504996.85,7987.0,1562.5259797170402,1941.2791849255038,3025101.8499999996,Net increase
NC,156279191.0,147488626.15,73507.0,2126.0450161209137,2006.4568836981514,-8790564.849999994,Net decrease
ND,9770690.0,16660045.450000001,8533.0,1145.0474627915153,1952.4253427868277,6889355.450000001,Net increase
NE,24842936.0,33844005.949999996,16655.0,1491.6202942059442,2032.0628009606721,9001069.949999996,Net increase
NH,20199479.0,27959684.8,13960.0,1446.954083094556,2002.8427507163324,7760205.800000001,Net increase
NJ,147639055.0,136065157.25,67337.0,2192.5398369395725,2020.6596262084738,-11573897.75,Net decrease
NM,43903037.0,33143709.3,16902.0,2597.5054431428234,1960.9341675541357,-10759327.7,Net decrease
NV,34435949.0,34233584.25,16491.0,2088.166211873143,2075.8949881753683,-202364.75,Net decrease
NY,442965944.0,388553647.0,191332.0,2315.1691510045366,2030.7823416887923,-54412297.0,Net decrease
OH,172472472.0,200349227.25,96771.0,1782.2743590538487,2070.3436695910964,27876755.25,Net increase
OK,73561088.0,71901294.65,36401.0,2020.8534930359056,1975.2560273069423,-1659793.349999994,Net decrease
OR,43613168.0,51058442.45,25673.0,1698.7951544424104,1988.7992229190202,7445274.450000003,Net increase
PA,214842852.0,245148863.7,122688.0,1751.1317488262912,1998.14866735133,30306011.699999988,Net increase
RI,22659644.0,29455042.400000002,14846.0,1526.3130809645695,1984.0389599892228,6795398.400000002,Net increase
SC,81078941.0,80408749.25,39899.0,2032.104589087446,2015.307382390536,-670191.75,Net decrease
SD,12023224.0,15037980.75,7929.0,1516.3607012233574,1896.5797389330307,3014756.75,Net increase
TN,152024460.0,129198911.75,65369.0,2325.635392923251,1976.4553802261012,-22825548.25,Net decrease
TX,450408987.0,422682963.15,197391.0,2281.8111616031124,2141.348709667614,-27726023.850000024,Net decrease
UT,35182185.0,58586062.4,26900.0,1307.8879182156134,2177.920535315985,23403877.4,Net increase
VA,110095368.0,146026269.85,67669.0,1626.9690404764367,2157.949280320383,35930901.849999994,Net increase
VT,9168906.0,12870000.85,6721.0,1364.2175271536973,1914.893743490552,3701094.8499999996,Net increase
WA,67120868.0,92529715.39999999,44522.0,1507.5887875656979,2078.2919770001345,25408847.39999999,Net increase
WI,60389810.0,90967798.25,43799.0,1378.79426470924,2076.937789675563,30577988.25,Net increase
WV,37648153.0,34209992.2,16984.0,2216.68352567122,2014.2482454074425,-3438160.799999997,Net decrease
WY,6309246.0,8610042.6,4578.0,1378.1664482306685,1880.7432503276539,2300796.5999999996,Net increase
